bpmnElementType,bpmnProcessId,completed,created,duration,elementId,endPosition,ended,flowScopeKey,key,partition,startPosition,version,workflowInstanceKey,workflowKey
START_EVENT,process,true,1551053977755,0,StartEvent_1,4295446016,1551053977755,733,734,0,4295445248,1,733,1
START_EVENT,process,true,1551053977762,0,StartEvent_1,4295449224,1551053977762,738,739,0,4295448456,1,738,1
START_EVENT,process,true,1551053977767,0,StartEvent_1,4295452432,1551053977767,743,744,0,4295451664,1,743,1
START_EVENT,process,true,1551053977774,0,StartEvent_1,4295455640,1551053977774,748,749,0,4295454872,1,748,1
START_EVENT,process,true,1551053977778,1,StartEvent_1,4295458848,1551053977779,753,754,0,4295458080,1,753,1
START_EVENT,process,true,1551053977785,1,StartEvent_1,4295462056,1551053977786,758,759,0,4295461288,1,758,1
START_EVENT,process,true,1551053977791,1,StartEvent_1,4295465264,1551053977792,763,764,0,4295464496,1,763,1
START_EVENT,process,true,1551053977797,0,StartEvent_1,4295468472,1551053977797,768,769,0,4295467704,1,768,1
START_EVENT,process,true,1551053977801,1,StartEvent_1,4295471680,1551053977802,773,774,0,4295470912,1,773,1
START_EVENT,process,true,1551053977811,0,StartEvent_1,4295474888,1551053977811,778,779,0,4295474120,1,778,1
START_EVENT,process,true,1551053977816,1,StartEvent_1,4295478096,1551053977817,783,784,0,4295477328,1,783,1
START_EVENT,process,true,1551053977822,-1,StartEvent_1,4295481304,1551053977821,788,789,0,4295480536,1,788,1
START_EVENT,process,true,1551053977827,0,StartEvent_1,4295484512,1551053977827,793,794,0,4295483744,1,793,1
START_EVENT,process,true,1551053977833,0,StartEvent_1,4295487720,1551053977833,798,799,0,4295486952,1,798,1
START_EVENT,process,true,1551053977839,0,StartEvent_1,4295490928,1551053977839,803,804,0,4295490160,1,803,1
START_EVENT,process,true,1551053977843,1,StartEvent_1,4295494136,1551053977844,808,809,0,4295493368,1,808,1
START_EVENT,process,true,1551053977849,1,StartEvent_1,4295497344,1551053977850,813,814,0,4295496576,1,813,1
START_EVENT,process,true,1551053977859,1,StartEvent_1,4295500552,1551053977860,818,819,0,4295499784,1,818,1
START_EVENT,process,true,1551053977870,1,StartEvent_1,4295503760,1551053977871,823,824,0,4295502992,1,823,1
START_EVENT,process,true,1551053977875,1,StartEvent_1,4295506968,1551053977876,828,829,0,4295506200,1,828,1
START_EVENT,process,true,1551053977882,1,StartEvent_1,4295510176,1551053977883,833,834,0,4295509408,1,833,1
START_EVENT,process,true,1551053977888,0,StartEvent_1,4295513384,1551053977888,838,839,0,4295512616,1,838,1
START_EVENT,process,true,1551053977893,0,StartEvent_1,4295516592,1551053977893,843,844,0,4295515824,1,843,1
START_EVENT,process,true,1551053977899,0,StartEvent_1,4295519800,1551053977899,848,849,0,4295519032,1,848,1
START_EVENT,process,true,1551053977904,0,StartEvent_1,4295523008,1551053977904,853,854,0,4295522240,1,853,1
START_EVENT,process,true,1551053977912,0,StartEvent_1,4295526216,1551053977912,858,859,0,4295525448,1,858,1
START_EVENT,process,true,1551053977917,0,StartEvent_1,4295529424,1551053977917,863,864,0,4295528656,1,863,1
START_EVENT,process,true,1551053977924,0,StartEvent_1,4295532632,1551053977924,868,869,0,4295531864,1,868,1
START_EVENT,process,true,1551053977930,1,StartEvent_1,4295535840,1551053977931,873,874,0,4295535072,1,873,1
START_EVENT,process,true,1551053977936,1,StartEvent_1,4295539048,1551053977937,878,879,0,4295538280,1,878,1
START_EVENT,process,true,1551053977942,0,StartEvent_1,4295542256,1551053977942,883,884,0,4295541488,1,883,1
SERVICE_TASK,process,true,1551053976663,4775,ServiceTask_0kt6c5i,4295563848,1551053981438,3,6,0,4294979768,1,3,1
SERVICE_TASK,process,true,1551053976692,4754,ServiceTask_0kt6c5i,4295566096,1551053981446,18,21,0,4294989272,1,18,1
SERVICE_TASK,process,true,1551053976674,4774,ServiceTask_0kt6c5i,4295569192,1551053981448,7,11,0,4294982936,1,7,1
SERVICE_TASK,process,true,1551053976684,4764,ServiceTask_0kt6c5i,4295569456,1551053981448,13,16,0,4294986104,1,13,1
SERVICE_TASK,process,true,1551053976702,4748,ServiceTask_0kt6c5i,4295569720,1551053981450,23,26,0,4294992440,1,23,1
END_EVENT,process,true,1551053981446,4,EndEvent_0crvjrk,4295569984,1551053981450,3,890,0,4295565840,1,3,1
PROCESS,process,true,1551053976653,4797,process,4295572560,1551053981450,-1,3,0,4294978024,1,3,1
END_EVENT,process,true,1551053981448,2,EndEvent_0crvjrk,4295573096,1551053981450,18,892,0,4295568936,1,18,1
PROCESS,process,true,1551053976688,4764,process,4295575736,1551053981452,-1,18,0,4294987528,1,18,1
